U_Code,NP_Code,NP_Name
5,275,Знаменское с. (Знаменская сл.)
5,276,Зотинское с.
5,277,"Зырянское (Зыряновское) с. (Зыряновская, Зырянская сл.)"
5,278,Ильинское (Латышевское) с. (Ильинская сл.)
5,279,Ирбито-Вершинское с.
5,280,Калиновское с. (Калиновская сл.)
5,281,Каменно-Озерское с.
5,282,Каменский з. (Каменское с.)
5,283,Камышлов г.
5,284,Камышловско-Экономическое с.
5,285,"Катайское с. (Катайский остр., Катайская сл.)"
5,286,Кашинское с.
5,287,Квашнинское с.
5,288,Клевакинское с. (Клевакинская сл.)
5,289,"Колчеданское с. (Колчеданский остр., Колчеданская сл.)"
5,290,Корюковское с.
5,291,Костоусовское с.
5,292,Кочневское с.
5,293,Красноярское с. (Красноярская сл.)
5,294,Крестовское с. (Крестовская сл.)
5,295,Куликовское с.
5,296,Кунарское с. = Прокопьевское с.
5,297,Куровское с. (Куровская сл.)
5,298,Курьинское с. (Курьинская сл.)
5,299,Куяровское с.
5,300,Мартыновское с.
5,301,Москвинское с.
5,302,Некрасовское с.
5,303,Никитинское с.
5,304,Пышминское экономическое с. (Никольское) (сл.)
5,305,Новое (Новодеревенское) с.
5,306,Ново-Пышминское с.
5,307,Обуховское с.
5,308,Ожгиха д.(пр.Скатин.с.)
5,309,Окулова д.(пр.Пироговского с.)
5,310,Онохинское с. (Анохинское)
5,311,Пироговское с.
5,312,Поварненское с.
5,313,Полдневское с.
5,314,"Прокопьевское с. (Прокопьевская сл., Кунарское с.)"
5,315,Пышминское с. (Пышминская сл.)
5,316,Пышминско-Экономическое с.
5,317,Реутинское с.
5,318,Рудянское с.
5,319,Рыбниковское с. (Шаблише-Рыбниковское)
5,320,Синарское с.
5,321,Скатинское с. (Скатинская сл.)
5,322,Совинское с. (Савинское)
5,323,Сокодинское с.
5,324,Суворовское с.
5,325,Сухоложское с.
5,326,Сысковское с.
5,327,Талицкий з.
5,328,Талицкое с.
5,329,Тамакульское с.
5,330,Таушканское с.
5,331,Темновское с.
5,332,Темное с.быв.д.Темная пр.Знам.
5,333,Тимохина д.(пр.Пышмин.с.)
5,334,Травянское с.
5,335,Троицкое с. (Троицкая сл.)
5,337,Тыгишское с.
5,338,Уецкое с. (Уецкая сл.)
5,340,Ушаковское с.
5,341,Филатовское с.
5,342,Фоминское с.
